as_of_date,store_id,city,state,region,product_id,product_name,category,sub_category,on_hand_qty,reorder_point,avg_daily_sales,days_of_supply,is_stockout_risk
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-BI-10003707,Aluminum Screw Posts,Office Supplies,Binders,3,2,0.0222,135.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-EN-10001219,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,Envelopes,8,2,0.0222,360.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-EN-10003068,#6 3/4 Gummed Flap White Envelopes,Office Supplies,Envelopes,4,2,0.0222,180.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-PA-10000477,Xerox 1952,Office Supplies,Paper,6,2,0.0778,77.14,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-PA-10001204,Xerox 1972,Office Supplies,Paper,1,2,0.0222,45.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-PA-10001934,Xerox 1993,Office Supplies,Paper,6,2,0.0222,270.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-PA-10002923,Xerox 1942,Office Supplies,Paper,7,2,0.0222,315.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-ST-10000464,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Storage,1,2,0.0222,45.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-ST-10000585,Economy Rollaway Files,Office Supplies,Storage,8,2,0.0222,360.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,5,2,0.0222,225.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-ST-10000943,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,Office Supplies,Storage,1,2,0.0444,22.50,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-ST-10002214,X-Rack File for Hanging Folders,Office Supplies,Storage,7,2,0.0667,105.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,Office Supplies,Storage,1,2,0.0333,30.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-SU-10000946,Staple remover,Office Supplies,Supplies,2,2,0.0778,25.71,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,TEC-AC-10001383,Logitech Wireless Touch Keyboard K400,Technology,Accessories,0,2,0.0222,0.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,4,2,0.0333,120.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,TEC-AC-10004568,Maxell LTO Ultrium - 800 GB,Technology,Accessories,5,2,0.0222,225.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,TEC-PH-10001305,Panasonic KX TS208W Corded phone,Technology,Phones,4,2,0.0556,72.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,TEC-PH-10002085,Clarity 53712,Technology,Phones,1,2,0.0778,12.86,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,Technology,Phones,1,2,0.0444,22.50,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,TEC-PH-10004531,OtterBox Commuter Series Case - iPhone 5 & 5s,Technology,Phones,7,2,0.0222,315.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,TEC-PH-10004908,Panasonic KX TS3282W Corded phone,Technology,Phones,7,2,0.0111,630.00,f
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,7,2,0.0333,210.00,f
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,1,2,0.0778,12.86,t
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,7,2,0.0222,315.00,f
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,OFF-AR-10001860,BIC Liqua Brite Liner,Office Supplies,Art,7,2,0.0556,126.00,f
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,OFF-AR-10004260,Boston 1799 Powerhouse Electric Pencil Sharpener,Office Supplies,Art,7,2,0.0778,90.00,f
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,OFF-BI-10001636,Ibico Plastic and Wire Spiral Binding Combs,Office Supplies,Binders,2,2,0.0444,45.00,t
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,7,2,0.0222,315.00,f
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,OFF-PA-10000349,Easy-staple paper,Office Supplies,Paper,3,2,0.0333,90.00,f
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,OFF-PA-10001293,Xerox 1946,Office Supplies,Paper,1,2,0.0222,45.00,t
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,OFF-ST-10001837,"SAFCO Mobile Desk Side File, Wire Frame",Office Supplies,Storage,2,2,0.0222,90.00,t
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology,Accessories,3,2,0.0111,270.00,f
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,TEC-AC-10001114,Microsoft Wireless Mobile Mouse 4000,Technology,Accessories,1,2,0.0556,18.00,t
2017-12-30,UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,TEC-AC-10004859,"Maxell Pro 80 Minute CD-R, 10/Pack",Technology,Accessories,4,2,0.0667,60.00,f
2017-12-30,UnitedStates-Central-Eagan-Minnesota,Eagan,Minnesota,Central,OFF-LA-10001771,Avery 513,Office Supplies,Labels,3,2,0.0333,90.00,f
2017-12-30,UnitedStates-Central-Eagan-Minnesota,Eagan,Minnesota,Central,OFF-PA-10000327,Xerox 1971,Office Supplies,Paper,8,2,0.0222,360.00,f
2017-12-30,UnitedStates-Central-Eagan-Minnesota,Eagan,Minnesota,Central,OFF-ST-10001325,Sterilite Officeware Hinged File Box,Office Supplies,Storage,2,2,0.0556,36.00,t
2017-12-30,UnitedStates-Central-EauClaire-Wisconsin,Eau Claire,Wisconsin,Central,OFF-ST-10001031,Adjustable Personal File Tote,Office Supplies,Storage,5,2,0.0222,225.00,f
2017-12-30,UnitedStates-Central-Edinburg-Texas,Edinburg,Texas,Central,OFF-FA-10000611,Binder Clips by OIC,Office Supplies,Fasteners,7,2,0.0222,315.00,f
2017-12-30,UnitedStates-Central-ElPaso-Texas,El Paso,Texas,Central,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,7,2,0.0333,210.00,f
2017-12-30,UnitedStates-Central-Fargo-NorthDakota,Fargo,North Dakota,Central,OFF-AR-10004707,Staples in misc. colors,Office Supplies,Art,7,2,0.0111,630.00,f
2017-12-30,UnitedStates-Central-Fargo-NorthDakota,Fargo,North Dakota,Central,OFF-BI-10004040,Wilson Jones Impact Binders,Office Supplies,Binders,3,2,0.0556,54.00,f
2017-12-30,UnitedStates-Central-Freeport-Illinois,Freeport,Illinois,Central,FUR-FU-10001424,Dax Clear Box Frame,Furniture,Furnishings,6,2,0.0333,180.00,f
2017-12-30,UnitedStates-Central-Freeport-Illinois,Freeport,Illinois,Central,OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,Office Supplies,Binders,8,2,0.0444,180.00,f
2017-12-30,UnitedStates-Central-Freeport-Illinois,Freeport,Illinois,Central,OFF-PA-10003127,Easy-staple paper,Office Supplies,Paper,2,2,0.0333,60.00,t
2017-12-30,UnitedStates-Central-Fremont-Nebraska,Fremont,Nebraska,Central,FUR-FU-10001940,Staple-based wall hangings,Furniture,Furnishings,4,2,0.0222,180.00,f
2017-12-30,UnitedStates-Central-Fremont-Nebraska,Fremont,Nebraska,Central,OFF-PA-10000994,Xerox 1915,Office Supplies,Paper,4,2,0.0111,360.00,f
2017-12-30,UnitedStates-Central-Fremont-Nebraska,Fremont,Nebraska,Central,OFF-ST-10004459,Tennsco Single-Tier Lockers,Office Supplies,Storage,3,2,0.0222,135.00,f
2017-12-30,UnitedStates-Central-GardenCity-Kansas,Garden City,Kansas,Central,OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage,2,2,0.0111,180.00,t
2017-12-30,UnitedStates-Central-Garland-Texas,Garland,Texas,Central,OFF-BI-10001510,Deluxe Heavy-Duty Vinyl Round Ring Binder,Office Supplies,Binders,8,2,0.0444,180.00,f
2017-12-30,UnitedStates-Central-Garland-Texas,Garland,Texas,Central,OFF-LA-10001045,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Office Supplies,Labels,8,2,0.0556,144.00,f
2017-12-30,UnitedStates-Central-Gladstone-Missouri,Gladstone,Missouri,Central,FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,Furniture,Furnishings,4,2,0.0333,120.00,f
2017-12-30,UnitedStates-Central-Gladstone-Missouri,Gladstone,Missouri,Central,TEC-AC-10002399,SanDisk Cruzer 32 GB USB Flash Drive,Technology,Accessories,7,2,0.0222,315.00,f
2017-12-30,UnitedStates-Central-GrandPrairie-Texas,Grand Prairie,Texas,Central,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,4,2,0.0333,120.00,f
2017-12-30,UnitedStates-Central-GrandPrairie-Texas,Grand Prairie,Texas,Central,OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,7,2,0.0222,315.00,f
2017-12-30,UnitedStates-Central-GrandPrairie-Texas,Grand Prairie,Texas,Central,TEC-PH-10004912,Cisco SPA112 2 Port Phone Adapter,Technology,Phones,4,2,0.0556,72.00,f
2017-12-30,UnitedStates-Central-GrandRapids-Michigan,Grand Rapids,Michigan,Central,OFF-BI-10000088,GBC Imprintable Covers,Office Supplies,Binders,5,2,0.0556,90.00,f
2017-12-30,UnitedStates-Central-GrandRapids-Michigan,Grand Rapids,Michigan,Central,OFF-PA-10000994,Xerox 1915,Office Supplies,Paper,2,2,0.0222,90.00,t
2017-12-30,UnitedStates-Central-Greenwood-Indiana,Greenwood,Indiana,Central,OFF-PA-10000565,Easy-staple paper,Office Supplies,Paper,6,2,0.0333,180.00,f
2017-12-30,UnitedStates-Central-Greenwood-Indiana,Greenwood,Indiana,Central,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper,2,2,0.0111,180.00,t
2017-12-30,UnitedStates-Central-Greenwood-Indiana,Greenwood,Indiana,Central,OFF-PA-10003673,Strathmore Photo Mount Cards,Office Supplies,Paper,4,2,0.1111,36.00,f
2017-12-30,UnitedStates-Central-Houston-Texas,Houston,Texas,Central,FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs,2,2,0.0556,36.00,t
2017-12-30,UnitedStates-Central-Houston-Texas,Houston,Texas,Central,FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,8,2,0.0333,240.00,f
2017-12-30,UnitedStates-Central-Houston-Texas,Houston,Texas,Central,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,1,2,0.0333,30.00,t
