store_id,city,state,region,orders,sales,profit,profit_margin_pct,units
UnitedStates-Central-Eagan-Minnesota,Eagan,Minnesota,Central,3,214.2800,87.0338,40.62,22
UnitedStates-Central-EauClaire-Wisconsin,Eau Claire,Wisconsin,Central,4,1645.6500,427.4978,25.98,21
UnitedStates-Central-Edinburg-Texas,Edinburg,Texas,Central,2,88.2760,27.8086,31.50,11
UnitedStates-Central-Edmond-Oklahoma,Edmond,Oklahoma,Central,1,959.5500,243.1039,25.34,9
UnitedStates-Central-ElPaso-Texas,El Paso,Texas,Central,10,3546.0640,-179.9007,-5.07,65
UnitedStates-Central-Elkhart-Indiana,Elkhart,Indiana,Central,1,171.4300,16.6721,9.73,7
UnitedStates-Central-Elmhurst-Illinois,Elmhurst,Illinois,Central,2,891.6280,-212.1321,-23.79,14
UnitedStates-Central-Evanston-Illinois,Evanston,Illinois,Central,3,1753.7990,411.8838,23.49,11
UnitedStates-Central-Fargo-NorthDakota,Fargo,North Dakota,Central,2,919.9100,230.1497,25.02,30
UnitedStates-Central-FortWorth-Texas,Fort Worth,Texas,Central,12,6602.7064,298.7327,4.52,102
UnitedStates-Central-Frankfort-Illinois,Frankfort,Illinois,Central,2,97.6320,-26.0560,-26.69,10
UnitedStates-Central-Franklin-Wisconsin,Franklin,Wisconsin,Central,5,4774.2500,1292.7752,27.08,48
UnitedStates-Central-Freeport-Illinois,Freeport,Illinois,Central,2,215.8200,-127.4498,-59.05,12
UnitedStates-Central-Fremont-Nebraska,Fremont,Nebraska,Central,7,1119.0100,179.4696,16.04,33
UnitedStates-Central-Frisco-Texas,Frisco,Texas,Central,2,57.5040,-18.8016,-32.70,10
UnitedStates-Central-GardenCity-Kansas,Garden City,Kansas,Central,3,312.3800,90.6259,29.01,8
UnitedStates-Central-Garland-Texas,Garland,Texas,Central,3,67.7040,-32.3730,-47.82,12
UnitedStates-Central-Gladstone-Missouri,Gladstone,Missouri,Central,1,164.3400,52.5888,32.00,5
UnitedStates-Central-Glenview-Illinois,Glenview,Illinois,Central,1,158.3760,13.8579,8.75,3
UnitedStates-Central-GrandIsland-Nebraska,Grand Island,Nebraska,Central,1,15.9600,7.9800,50.00,2
UnitedStates-Central-GrandPrairie-Texas,Grand Prairie,Texas,Central,7,1012.4860,-85.2311,-8.42,45
UnitedStates-Central-GrandRapids-Michigan,Grand Rapids,Michigan,Central,6,526.1300,233.9227,44.46,31
UnitedStates-Central-Grapevine-Texas,Grapevine,Texas,Central,1,41.5280,8.7749,21.13,12
UnitedStates-Central-GreenBay-Wisconsin,Green Bay,Wisconsin,Central,4,527.3200,228.4764,43.33,14
UnitedStates-Central-Greenwood-Indiana,Greenwood,Indiana,Central,2,1665.0500,471.7322,28.33,19
UnitedStates-Central-HaltomCity-Texas,Haltom City,Texas,Central,2,269.3280,51.9558,19.29,13
UnitedStates-Central-Harlingen-Texas,Harlingen,Texas,Central,2,471.4040,18.1275,3.85,21
UnitedStates-Central-HighlandPark-Illinois,Highland Park,Illinois,Central,3,2035.0960,-169.9406,-8.35,28
UnitedStates-Central-Holland-Michigan,Holland,Michigan,Central,2,137.8600,66.6588,48.35,11
UnitedStates-Central-Houston-Texas,Houston,Texas,Central,188,64504.7604,-10153.5485,-15.74,1466
UnitedStates-Central-Huntsville-Texas,Huntsville,Texas,Central,10,6710.6168,-843.4264,-12.57,121
UnitedStates-Central-Independence-Missouri,Independence,Missouri,Central,2,2417.3700,975.6630,40.36,6
UnitedStates-Central-Indianapolis-Indiana,Indianapolis,Indiana,Central,12,9306.4200,2741.6538,29.46,95
UnitedStates-Central-IowaCity-Iowa,Iowa City,Iowa,Central,1,9.9900,4.4955,45.00,1
UnitedStates-Central-Irving-Texas,Irving,Texas,Central,5,605.5000,-100.5125,-16.60,23
UnitedStates-Central-Jackson-Michigan,Jackson,Michigan,Central,14,15420.0360,5525.1992,35.83,132
UnitedStates-Central-JeffersonCity-Missouri,Jefferson City,Missouri,Central,1,86.6200,8.6620,10.00,2
UnitedStates-Central-Keller-Texas,Keller,Texas,Central,1,6.0000,2.1000,35.00,2
UnitedStates-Central-Kenosha-Wisconsin,Kenosha,Wisconsin,Central,3,3906.7300,1028.0728,26.32,37
UnitedStates-Central-Kirkwood-Missouri,Kirkwood,Missouri,Central,1,241.3400,47.1344,19.53,7
UnitedStates-Central-LaCrosse-Wisconsin,La Crosse,Wisconsin,Central,2,830.4100,272.0761,32.76,22
UnitedStates-Central-LaPorte-Indiana,La Porte,Indiana,Central,3,1021.3400,224.5130,21.98,33
UnitedStates-Central-LaPorte-Texas,La Porte,Texas,Central,1,30.3920,-32.5272,-107.03,6
UnitedStates-Central-Lafayette-Indiana,Lafayette,Indiana,Central,7,19630.4500,8976.0973,45.73,43
UnitedStates-Central-Lakeville-Minnesota,Lakeville,Minnesota,Central,5,4260.9500,1346.6021,31.60,84
UnitedStates-Central-Lansing-Michigan,Lansing,Michigan,Central,3,1610.2860,412.8734,25.64,25
UnitedStates-Central-Laredo-Texas,Laredo,Texas,Central,4,1024.3400,-54.6139,-5.33,37
UnitedStates-Central-Lawrence-Indiana,Lawrence,Indiana,Central,6,1545.1300,532.7430,34.48,52
UnitedStates-Central-Lawton-Oklahoma,Lawton,Oklahoma,Central,2,1057.4900,235.5085,22.27,13
UnitedStates-Central-LeagueCity-Texas,League City,Texas,Central,2,875.3680,-31.3499,-3.58,25
UnitedStates-Central-LincolnPark-Michigan,Lincoln Park,Michigan,Central,2,387.6020,68.3691,17.64,11
UnitedStates-Central-Lubbock-Texas,Lubbock,Texas,Central,4,592.5640,147.1387,24.83,22
UnitedStates-Central-Madison-Wisconsin,Madison,Wisconsin,Central,4,5346.7900,1123.6552,21.02,37
UnitedStates-Central-Manhattan-Kansas,Manhattan,Kansas,Central,1,273.9600,10.9584,4.00,2
UnitedStates-Central-Mansfield-Texas,Mansfield,Texas,Central,2,558.8770,-66.7913,-11.95,13
UnitedStates-Central-MapleGrove-Minnesota,Maple Grove,Minnesota,Central,2,882.8700,385.0101,43.61,13
UnitedStates-Central-Marion-Iowa,Marion,Iowa,Central,3,358.3600,164.2909,45.85,22
UnitedStates-Central-Mcallen-Texas,Mcallen,Texas,Central,4,866.7160,-163.8717,-18.91,54
UnitedStates-Central-Mesquite-Texas,Mesquite,Texas,Central,3,52.1480,-87.6200,-168.02,14
UnitedStates-Central-Midland-Michigan,Midland,Michigan,Central,5,5291.5120,2293.6828,43.35,39
UnitedStates-Central-Milwaukee-Wisconsin,Milwaukee,Wisconsin,Central,23,11410.2200,2793.0851,24.48,201
UnitedStates-Central-Minneapolis-Minnesota,Minneapolis,Minnesota,Central,13,16870.5400,6824.5846,40.45,80
UnitedStates-Central-Mishawaka-Indiana,Mishawaka,Indiana,Central,2,776.2400,96.5920,12.44,11
UnitedStates-Central-MissouriCity-Texas,Missouri City,Texas,Central,1,6.3700,-9.5550,-150.00,7
UnitedStates-Central-Moorhead-Minnesota,Moorhead,Minnesota,Central,2,543.8600,101.4106,18.65,9
UnitedStates-Central-MountPleasant-Michigan,Mount Pleasant,Michigan,Central,1,17.1400,6.1704,36.00,2
UnitedStates-Central-Muskogee-Oklahoma,Muskogee,Oklahoma,Central,2,1721.7000,442.5966,25.71,14
UnitedStates-Central-Naperville-Illinois,Naperville,Illinois,Central,5,1288.3030,-146.5324,-11.37,33
UnitedStates-Central-NewAlbany-Indiana,New Albany,Indiana,Central,1,209.5500,73.3529,35.00,15
UnitedStates-Central-NewCastle-Indiana,New Castle,Indiana,Central,1,84.6100,23.0839,27.28,9
UnitedStates-Central-Noblesville-Indiana,Noblesville,Indiana,Central,2,3091.1800,353.3130,11.43,15
UnitedStates-Central-Norfolk-Nebraska,Norfolk,Nebraska,Central,1,17.4300,8.0178,46.00,3
UnitedStates-Central-Normal-Illinois,Normal,Illinois,Central,1,366.7440,-110.0232,-30.00,4
UnitedStates-Central-Norman-Oklahoma,Norman,Oklahoma,Central,2,1351.3300,269.5287,19.95,9
UnitedStates-Central-OakPark-Illinois,Oak Park,Illinois,Central,1,10.1920,1.0192,10.00,7
UnitedStates-Central-OakPark-Michigan,Oak Park,Michigan,Central,1,580.8600,151.0236,26.00,5
UnitedStates-Central-Odessa-Texas,Odessa,Texas,Central,4,976.1240,-69.7118,-7.14,22
UnitedStates-Central-OklahomaCity-Oklahoma,Oklahoma City,Oklahoma,Central,11,6596.8200,1580.7607,23.96,78
UnitedStates-Central-Olathe-Kansas,Olathe,Kansas,Central,2,895.7900,207.4108,23.15,15
UnitedStates-Central-Omaha-Nebraska,Omaha,Nebraska,Central,14,6312.5300,1841.6268,29.17,98
UnitedStates-Central-OrlandPark-Illinois,Orland Park,Illinois,Central,1,339.9600,67.9920,20.00,5
UnitedStates-Central-Oswego-Illinois,Oswego,Illinois,Central,1,321.9780,-536.1276,-166.51,13
UnitedStates-Central-OverlandPark-Kansas,Overland Park,Kansas,Central,3,606.9100,203.5218,33.53,23
UnitedStates-Central-Palatine-Illinois,Palatine,Illinois,Central,1,116.3120,23.2624,20.00,7
UnitedStates-Central-ParkRidge-Illinois,Park Ridge,Illinois,Central,3,685.0000,-238.4500,-34.81,17
UnitedStates-Central-Pasadena-Texas,Pasadena,Texas,Central,9,2477.4580,-340.1050,-13.73,59
UnitedStates-Central-Pearland-Texas,Pearland,Texas,Central,2,494.9960,39.4131,7.96,13
UnitedStates-Central-Peoria-Illinois,Peoria,Illinois,Central,4,501.4800,-72.7587,-14.51,23
UnitedStates-Central-Pharr-Texas,Pharr,Texas,Central,2,1540.7080,-237.5528,-15.42,22
UnitedStates-Central-Plano-Texas,Plano,Texas,Central,8,3530.3746,-383.0554,-10.85,48
UnitedStates-Central-PortArthur-Texas,Port Arthur,Texas,Central,3,737.0528,105.7760,14.35,12
UnitedStates-Central-Portage-Indiana,Portage,Indiana,Central,1,16.2800,6.5120,40.00,2
UnitedStates-Central-Quincy-Illinois,Quincy,Illinois,Central,6,330.2840,49.1019,14.87,40
UnitedStates-Central-RapidCity-SouthDakota,Rapid City,South Dakota,Central,1,152.6400,44.7684,29.33,4
UnitedStates-Central-Richardson-Texas,Richardson,Texas,Central,1,1288.4640,-24.4893,-1.90,12
UnitedStates-Central-Richmond-Indiana,Richmond,Indiana,Central,14,6235.1500,1881.8620,30.18,107
UnitedStates-Central-Rochester-Minnesota,Rochester,Minnesota,Central,8,1957.4000,520.2040,26.58,50
UnitedStates-Central-RochesterHills-Michigan,Rochester Hills,Michigan,Central,1,132.5200,54.3332,41.00,4
UnitedStates-Central-Rockford-Illinois,Rockford,Illinois,Central,8,3166.2280,-1149.5078,-36.31,64
UnitedStates-Central-Romeoville-Illinois,Romeoville,Illinois,Central,1,8.9520,-14.7708,-165.00,2
UnitedStates-Central-Roseville-Michigan,Roseville,Michigan,Central,4,638.3300,268.9149,42.13,21
UnitedStates-Central-Roseville-Minnesota,Roseville,Minnesota,Central,2,2215.5200,667.5272,30.13,20
UnitedStates-Central-RoundRock-Texas,Round Rock,Texas,Central,3,4854.0528,-1183.4313,-24.38,23
UnitedStates-Central-RoyalOak-Michigan,Royal Oak,Michigan,Central,2,35.3400,16.9632,48.00,4
UnitedStates-Central-Saginaw-Michigan,Saginaw,Michigan,Central,2,395.8600,77.1801,19.50,24
UnitedStates-Central-SaintCharles-Illinois,Saint Charles,Illinois,Central,3,1388.7100,216.6398,15.60,20
UnitedStates-Central-SaintCharles-Missouri,Saint Charles,Missouri,Central,3,270.9400,94.8436,35.01,13
UnitedStates-Central-SaintCloud-Minnesota,Saint Cloud,Minnesota,Central,1,1331.8200,469.6140,35.26,13
UnitedStates-Central-SaintLouis-Missouri,Saint Louis,Missouri,Central,4,285.9600,98.5541,34.46,26
UnitedStates-Central-SaintPaul-Minnesota,Saint Paul,Minnesota,Central,2,192.8300,24.8842,12.90,11
UnitedStates-Central-SaintPeters-Missouri,Saint Peters,Missouri,Central,1,697.1600,146.4036,21.00,4
UnitedStates-Central-SanAngelo-Texas,San Angelo,Texas,Central,2,650.6360,-58.5532,-9.00,13
UnitedStates-Central-SanAntonio-Texas,San Antonio,Texas,Central,27,21843.5280,-7299.0502,-33.42,247
UnitedStates-Central-SanMarcos-Texas,San Marcos,Texas,Central,1,108.4440,-19.3413,-17.84,12
UnitedStates-Central-Sheboygan-Wisconsin,Sheboygan,Wisconsin,Central,1,79.7400,34.3419,43.07,10
UnitedStates-Central-SiouxFalls-SouthDakota,Sioux Falls,South Dakota,Central,3,1137.4200,343.4299,30.19,35
UnitedStates-Central-Skokie-Illinois,Skokie,Illinois,Central,5,568.8320,-346.8700,-60.98,44
UnitedStates-Central-SouthBend-Indiana,South Bend,Indiana,Central,1,1238.3300,279.5512,22.57,25
UnitedStates-Central-Springfield-Missouri,Springfield,Missouri,Central,14,15051.3800,3905.5891,25.95,151
UnitedStates-Central-SterlingHeights-Michigan,Sterling Heights,Michigan,Central,3,110.0400,33.0676,30.05,11
UnitedStates-Central-Superior-Wisconsin,Superior,Wisconsin,Central,2,1299.7300,514.0822,39.55,37
UnitedStates-Central-Taylor-Michigan,Taylor,Michigan,Central,3,353.7000,44.8682,12.69,7
UnitedStates-Central-TexasCity-Texas,Texas City,Texas,Central,2,790.9720,20.2218,2.56,7
UnitedStates-Central-TheColony-Texas,The Colony,Texas,Central,2,142.1600,31.6586,22.27,14
UnitedStates-Central-TinleyPark-Illinois,Tinley Park,Illinois,Central,1,22.2880,-8.9152,-40.00,7
UnitedStates-Central-Trenton-Michigan,Trenton,Michigan,Central,4,1765.1950,652.0998,36.94,54
UnitedStates-Central-Tulsa-Oklahoma,Tulsa,Oklahoma,Central,13,5556.9700,1506.9350,27.12,107
UnitedStates-Central-Tyler-Texas,Tyler,Texas,Central,2,347.2060,-443.7086,-127.79,16
UnitedStates-Central-Urbandale-Iowa,Urbandale,Iowa,Central,2,149.1200,57.7180,38.71,12
UnitedStates-Central-Waco-Texas,Waco,Texas,Central,4,606.1072,-520.1034,-85.81,17
UnitedStates-Central-Waterloo-Iowa,Waterloo,Iowa,Central,1,30.3200,11.8248,39.00,4
UnitedStates-Central-Waukesha-Wisconsin,Waukesha,Wisconsin,Central,1,54.5000,14.1700,26.00,5
UnitedStates-Central-Wausau-Wisconsin,Wausau,Wisconsin,Central,1,317.4800,90.4306,28.48,14
UnitedStates-Central-WestAllis-Wisconsin,West Allis,Wisconsin,Central,1,250.4800,28.3708,11.33,5
UnitedStates-Central-Westland-Michigan,Westland,Michigan,Central,3,2057.9760,389.5995,18.93,46
UnitedStates-Central-Wheeling-Illinois,Wheeling,Illinois,Central,2,737.1420,-293.3178,-39.79,9
UnitedStates-Central-Wichita-Kansas,Wichita,Kansas,Central,5,825.2700,323.9266,39.25,26
UnitedStates-Central-Woodbury-Minnesota,Woodbury,Minnesota,Central,2,607.6500,196.0962,32.27,11
UnitedStates-Central-Woodstock-Illinois,Woodstock,Illinois,Central,3,857.2500,-24.8859,-2.90,15
UnitedStates-East-Akron-Ohio,Akron,Ohio,East,10,2729.9860,-186.6356,-6.84,65
UnitedStates-East-Allentown-Pennsylvania,Allentown,Pennsylvania,East,2,853.2520,-226.4504,-26.54,20
UnitedStates-East-Altoona-Pennsylvania,Altoona,Pennsylvania,East,1,20.4510,-1.1835,-5.79,9
UnitedStates-East-Andover-Massachusetts,Andover,Massachusetts,East,1,435.8500,124.1886,28.49,13
UnitedStates-East-AtlanticCity-NewJersey,Atlantic City,New Jersey,East,1,23.3600,11.6800,50.00,2
UnitedStates-East-Auburn-NewYork,Auburn,New York,East,6,1384.1580,280.8048,20.29,63
UnitedStates-East-Baltimore-Maryland,Baltimore,Maryland,East,21,6156.8420,1676.1980,27.22,184
UnitedStates-East-Bangor-Maine,Bangor,Maine,East,2,1164.4500,422.2204,36.26,29
UnitedStates-East-Bayonne-NewJersey,Bayonne,New Jersey,East,1,183.4000,79.4030,43.29,9
UnitedStates-East-Belleville-NewJersey,Belleville,New Jersey,East,4,1891.6000,283.6492,15.00,32
UnitedStates-East-Bethlehem-Pennsylvania,Bethlehem,Pennsylvania,East,2,1689.6340,-1003.0958,-59.37,18
UnitedStates-East-Beverly-Massachusetts,Beverly,Massachusetts,East,1,2583.1900,654.9194,25.35,15
UnitedStates-East-BowlingGreen-Ohio,Bowling Green,Ohio,East,4,1865.5650,149.9449,8.04,25
UnitedStates-East-Bridgeton-NewJersey,Bridgeton,New Jersey,East,1,52.4100,3.4416,6.57,6
UnitedStates-East-Bristol-Connecticut,Bristol,Connecticut,East,3,814.5800,208.1567,25.55,17
UnitedStates-East-Buffalo-NewYork,Buffalo,New York,East,7,9063.4960,992.8791,10.95,46
UnitedStates-East-Burlington-Vermont,Burlington,Vermont,East,6,8929.3700,2244.9783,25.14,50
UnitedStates-East-Cambridge-Massachusetts,Cambridge,Massachusetts,East,3,502.0900,173.7276,34.60,19
UnitedStates-East-Chester-Pennsylvania,Chester,Pennsylvania,East,4,1968.4790,48.3578,2.46,55
UnitedStates-East-Cincinnati-Ohio,Cincinnati,Ohio,East,12,1611.9760,175.3371,10.88,58
UnitedStates-East-Cleveland-Ohio,Cleveland,Ohio,East,21,6346.1850,-848.0079,-13.36,138
UnitedStates-East-Clifton-NewJersey,Clifton,New Jersey,East,1,336.8200,98.5884,29.27,9
UnitedStates-East-Clinton-Maryland,Clinton,Maryland,East,10,5514.2510,1274.2421,23.11,119
UnitedStates-East-Columbia-Maryland,Columbia,Maryland,East,9,10962.3500,3775.2237,34.44,90
UnitedStates-East-Columbus-Ohio,Columbus,Ohio,East,55,15900.7930,-729.5052,-4.59,464
UnitedStates-East-Concord-NewHampshire,Concord,New Hampshire,East,10,2827.6300,787.6271,27.85,64
UnitedStates-East-Cranston-RhodeIsland,Cranston,Rhode Island,East,5,4024.9160,637.4977,15.84,52
UnitedStates-East-CuyahogaFalls-Ohio,Cuyahoga Falls,Ohio,East,3,29.0940,-12.5752,-43.22,13
UnitedStates-East-Danbury-Connecticut,Danbury,Connecticut,East,1,27.4600,9.8856,36.00,2
UnitedStates-East-Dover-Delaware,Dover,Delaware,East,6,449.1200,116.1310,25.86,22
UnitedStates-East-Dover-NewHampshire,Dover,New Hampshire,East,5,4428.9540,905.3631,20.44,53
UnitedStates-East-Dublin-Ohio,Dublin,Ohio,East,5,2379.1600,-351.3045,-14.77,51
UnitedStates-East-EastOrange-NewJersey,East Orange,New Jersey,East,2,377.2700,174.6191,46.28,20
UnitedStates-East-Elyria-Ohio,Elyria,Ohio,East,1,1.8240,-1.3984,-76.67,1
UnitedStates-East-Everett-Massachusetts,Everett,Massachusetts,East,8,5661.8780,1360.0809,24.02,83
UnitedStates-East-Fairfield-Connecticut,Fairfield,Connecticut,East,12,4935.5770,1221.6226,24.75,80
UnitedStates-East-Fairfield-Ohio,Fairfield,Ohio,East,10,3077.6970,-129.2881,-4.20,75
UnitedStates-East-Franklin-Massachusetts,Franklin,Massachusetts,East,9,5534.5590,464.6287,8.40,60
UnitedStates-East-Freeport-NewYork,Freeport,New York,East,4,523.3300,107.3618,20.52,17
UnitedStates-East-Gaithersburg-Maryland,Gaithersburg,Maryland,East,1,405.9200,105.5410,26.00,5
UnitedStates-East-GroveCity-Ohio,Grove City,Ohio,East,1,123.5880,13.1952,10.68,12
UnitedStates-East-Hackensack-NewJersey,Hackensack,New Jersey,East,2,1456.1600,451.2547,30.99,28
UnitedStates-East-Hagerstown-Maryland,Hagerstown,Maryland,East,1,43.8000,20.5860,47.00,6
UnitedStates-East-Hamilton-Ohio,Hamilton,Ohio,East,3,328.2240,-9.3850,-2.86,13
UnitedStates-East-Hempstead-NewYork,Hempstead,New York,East,4,2589.5860,629.0646,24.29,51
UnitedStates-East-Holyoke-Massachusetts,Holyoke,Massachusetts,East,1,301.9600,60.3920,20.00,2
UnitedStates-East-Jamestown-NewYork,Jamestown,New York,East,2,4708.7900,1285.7715,27.31,9
UnitedStates-East-Kent-Ohio,Kent,Ohio,East,3,346.3020,-11.3007,-3.26,20
UnitedStates-East-Lakewood-NewJersey,Lakewood,New Jersey,East,11,14852.0400,3526.6735,23.75,93
UnitedStates-East-Lakewood-Ohio,Lakewood,Ohio,East,13,1756.3240,-336.6081,-19.17,76
UnitedStates-East-Lancaster-Ohio,Lancaster,Ohio,East,15,8202.6250,-7149.6180,-87.16,121
UnitedStates-East-Lancaster-Pennsylvania,Lancaster,Pennsylvania,East,8,1211.3950,-168.8876,-13.94,35
UnitedStates-East-Laurel-Maryland,Laurel,Maryland,East,1,152.5900,46.1733,30.26,5
UnitedStates-East-Lawrence-Massachusetts,Lawrence,Massachusetts,East,15,6109.0620,1849.4035,30.27,114
UnitedStates-East-Leominster-Massachusetts,Leominster,Massachusetts,East,2,217.4900,79.5016,36.55,20
UnitedStates-East-Lewiston-Maine,Lewiston,Maine,East,1,106.0800,32.2658,30.42,6
UnitedStates-East-Linden-NewJersey,Linden,New Jersey,East,1,115.3600,49.6048,43.00,7
UnitedStates-East-Lindenhurst-NewYork,Lindenhurst,New York,East,1,55.4800,26.6304,48.00,1
UnitedStates-East-LongBeach-NewYork,Long Beach,New York,East,22,8521.2000,1362.5350,15.99,142
UnitedStates-East-Lorain-Ohio,Lorain,Ohio,East,5,2015.1110,-632.9229,-31.41,35
UnitedStates-East-Lowell-Massachusetts,Lowell,Massachusetts,East,7,4837.9300,1312.5717,27.13,60
UnitedStates-East-Malden-Massachusetts,Malden,Massachusetts,East,2,228.3800,31.1692,13.65,9
UnitedStates-East-Manchester-Connecticut,Manchester,Connecticut,East,4,2126.2800,600.5054,28.24,42
UnitedStates-East-Marion-Ohio,Marion,Ohio,East,8,3010.9860,-544.6532,-18.09,41
UnitedStates-East-Marlborough-Massachusetts,Marlborough,Massachusetts,East,1,206.6400,67.6068,32.72,6
UnitedStates-East-Mason-Ohio,Mason,Ohio,East,1,94.2640,-4.2352,-4.49,7
UnitedStates-East-Medina-Ohio,Medina,Ohio,East,3,2477.7220,-1343.0446,-54.20,38
UnitedStates-East-Mentor-Ohio,Mentor,Ohio,East,1,693.1300,-123.2742,-17.79,15
UnitedStates-East-Meriden-Connecticut,Meriden,Connecticut,East,5,1550.6800,470.2212,30.32,32
UnitedStates-East-Middletown-Connecticut,Middletown,Connecticut,East,7,1154.6100,157.6159,13.65,28
UnitedStates-East-Milford-Connecticut,Milford,Connecticut,East,3,961.7400,319.0540,33.17,30
UnitedStates-East-Morristown-NewJersey,Morristown,New Jersey,East,5,5033.1000,1838.2271,36.52,31
UnitedStates-East-MountVernon-NewYork,Mount Vernon,New York,East,5,2119.6320,662.5146,31.26,33
UnitedStates-East-Nashua-NewHampshire,Nashua,New Hampshire,East,2,35.9400,13.5126,37.60,10
