year_num,month_num,month_name,region,sales,profit,orders,active_customers
2016,8,August,Central,6982.5548,195.9024,24,23
2016,8,August,East,9264.9570,411.5223,23,23
2016,8,August,South,3050.0105,172.6095,16,16
2016,8,August,West,11817.8520,1282.0351,27,27
2016,9,September,Central,17503.2054,-563.5896,54,52
2016,9,September,East,20262.4920,3168.2010,50,47
2016,9,September,South,12023.4510,2447.6420,28,28
2016,9,September,West,23620.8765,4276.4042,60,59
2016,10,October,Central,25832.3520,10760.8610,24,23
2016,10,October,East,15065.4650,3681.6104,27,27
2016,10,October,South,3165.2340,383.1275,17,17
2016,10,October,West,15624.6940,1417.5436,37,36
2016,11,November,Central,16910.3168,1470.7464,45,43
2016,11,November,East,22982.0890,-4842.2419,48,47
2016,11,November,South,15596.5550,2940.2781,26,26
2016,11,November,West,23923.0050,4442.6249,64,63
2016,12,December,Central,25335.3210,7281.2271,36,36
2016,12,December,East,27645.2000,5527.9174,53,52
2016,12,December,South,10897.0220,1748.8850,26,26
2016,12,December,West,33121.5000,3327.2798,61,61
2017,1,January,Central,21690.6560,2865.9345,21,21
2017,1,January,East,5383.2840,355.8694,14,14
2017,1,January,South,4815.5900,710.3023,10,10
2017,1,January,West,12081.8440,3208.3329,24,24
2017,2,February,Central,3334.8224,-999.1856,10,10
2017,2,February,East,4968.5220,494.4531,17,17
2017,2,February,South,2182.8720,470.3746,5,5
2017,2,February,West,9814.9170,1648.2299,21,21
2017,3,March,Central,15504.5788,2054.6442,35,35
2017,3,March,East,7699.9560,1188.1279,31,31
2017,3,March,South,6643.7200,2394.0741,13,13
2017,3,March,West,29024.0980,9115.0453,39,38
2017,4,April,Central,3383.1236,124.5842,24,24
2017,4,April,East,10230.9060,1199.5098,36,36
2017,4,April,South,9447.7535,1356.6508,25,24
2017,4,April,West,13459.7530,-1747.4548,31,31
2017,5,May,Central,11588.8542,1765.1916,28,28
2017,5,May,East,6119.3690,843.9141,27,27
2017,5,May,South,10943.7410,1082.7368,23,23
2017,5,May,West,15609.1460,2650.7403,40,40
2017,6,June,Central,12966.7612,1209.4964,34,34
2017,6,June,East,15161.2250,3101.7598,35,35
2017,6,June,South,8933.9200,1132.5621,23,21
2017,6,June,West,15919.8195,2779.5174,41,41
2017,7,July,Central,8872.9560,1027.7903,30,30
2017,7,July,East,12321.8230,1118.1237,36,34
2017,7,July,South,3302.0980,577.9524,14,14
2017,7,July,West,20767.5390,4228.7548,31,30
2017,8,August,Central,6252.9940,531.3726,25,25
2017,8,August,East,20758.4660,2182.9194,29,29
2017,8,August,South,10371.5340,181.1379,20,20
2017,8,August,West,25737.8940,6145.5258,37,35
2017,9,September,Central,17342.9970,1130.4661,47,46
2017,9,September,East,32416.0980,2492.6463,63,60
2017,9,September,South,10200.5200,2483.8614,36,34
2017,9,September,West,27907.0370,4884.5818,80,77
2017,10,October,Central,12122.3362,597.5207,38,37
2017,10,October,East,32305.2000,7637.8817,41,41
2017,10,October,South,12136.9510,-2243.2350,22,21
2017,10,October,West,21212.4360,3283.1081,46,44
2017,11,November,Central,15154.9780,-1518.5954,61,59
2017,11,November,East,45633.6390,9390.2568,74,69
2017,11,November,South,28717.4210,-1624.8074,49,49
2017,11,November,West,28941.7870,3443.2497,77,73
2017,12,December,Central,18883.0708,-1238.3754,53,51
2017,12,December,East,20084.4160,3225.0994,67,65
2017,12,December,South,15209.7370,2327.2979,33,33
2017,12,December,West,29652.0950,4169.3249,71,66
